Time,X Axis,Y Axis,Z Axis
1700258940.996221,1.5139265060424805,1.6473153829574585,1.2507514953613281
1700258941.7056417,1.6425739526748657,1.6433573961257935,1.4368830919265747
1700258942.406123,1.5630087852478027,1.651443600654602,1.325847864151001
1700258943.1075206,1.4993075132369995,1.3799368143081665,1.3396366834640503
1700258943.8095582,1.4339985847473145,1.3028453588485718,1.3940562009811401
1700258944.5112133,1.664033055305481,1.3392949104309082,1.3311593532562256
1700258945.2133253,1.5954842567443848,1.2647252082824707,1.4250388145446777
1700258945.915173,1.5713379383087158,1.321725845336914,1.2096283435821533
1700258946.615992,1.392870545387268,1.0628221035003662,1.1032826900482178
1700258947.317533,1.62558114528656,1.3507702350616455,1.3212705850601196
1700258948.020424,1.545413851737976,1.268620252609253,1.3426828384399414
1700258948.6952598,1.5397889614105225,1.33388352394104,1.3425755500793457
1700258949.3649309,1.525969386100769,1.3374898433685303,1.2405567169189453
1700258950.035026,1.5409598350524902,1.2965962886810303,1.4638572931289673
1700258950.7048676,1.5491780042648315,1.32526433467865,1.2022206783294678
1700258951.3748372,1.5405724048614502,1.2223362922668457,1.330865740776062
1700258952.0445218,1.473058819770813,1.0498440265655518,1.171884536743164
1700258952.7148764,1.5369056463241577,1.3622357845306396,1.375540852546692
1700258953.412969,1.590837836265564,1.3285129070281982,1.3859120607376099
1700258954.115215,1.5325146913528442,1.3953948020935059,1.4535773992538452
1700258954.8174968,1.5210800170898438,1.209824562072754,1.3116878271102905
1700258955.5201879,1.488019585609436,1.2989773750305176,1.2776540517807007
1700258956.222279,1.3571624755859375,1.3049957752227783,1.2872257232666016
1700258956.9244952,1.5759572982788086,1.423478126525879,1.4021904468536377
1700258957.6263328,1.6013484001159668,1.4971470832824707,1.354676365852356
1700258958.3255272,1.3309532403945923,1.1163015365600586,1.1349871158599854
1700258959.0277324,1.5555394887924194,1.4077720642089844,1.476509690284729
1700258959.7298498,1.5325565338134766,1.3690438270568848,1.398154854774475
1700258960.4325764,1.501306176185608,1.3023604154586792,1.237622857093811
1700258961.1334298,1.436923861503601,1.4836421012878418,1.3399882316589355
1700258961.8362596,1.492310643196106,1.4682878255844116,1.4639559984207153
1700258962.5388646,1.4071502685546875,1.660080075263977,1.3960598707199097
1700258963.241774,1.4330140352249146,1.6613434553146362,1.39484703540802
1700258963.944372,1.5764347314834595,1.6646907329559326,1.2805571556091309
1700258964.6405945,1.525874376296997,1.6635358333587646,1.3058089017868042
1700258965.3429596,1.6367677450180054,1.5996989011764526,1.44976007938385
