Time,X,Y,Z
1697307778.6351202,1.6683377027511597,1.7266178131103516,2.061575412750244
1697307778.7771704,1.674098253250122,1.7282204627990723,2.061009168624878
1697307778.9085279,1.6712532043457031,1.7266067266464233,2.0647449493408203
1697307779.0453722,1.6674790382385254,1.7268743515014648,2.0642600059509277
1697307779.1768,1.671175479888916,1.7278971672058105,2.0598394870758057
1697307779.3093295,1.6731926202774048,1.7290631532669067,2.059619903564453
1697307779.4390938,1.672361135482788,1.7298675775527954,2.06099796295166
1697307779.5774925,1.6703821420669556,1.7282068729400635,2.0611720085144043
1697307779.7070863,1.6700230836868286,1.7275419235229492,2.060823917388916
1697307779.8386576,1.6710668802261353,1.727023720741272,2.061105251312256
1697307779.9678283,1.6721069812774658,1.7279835939407349,2.0614569187164307
1697307780.105852,1.6705968379974365,1.728011965751648,2.0616962909698486
1697307780.235658,1.670617699623108,1.7273666858673096,2.061758041381836
1697307780.367275,1.6707608699798584,1.7279107570648193,2.0605623722076416
1697307780.4970155,1.6707843542099,1.7276443243026733,2.061713457107544
1697307780.6341436,1.6711432933807373,1.7280391454696655,2.060457468032837
1697307780.7655437,1.6713690757751465,1.7276862859725952,2.0612311363220215
1697307780.8977888,1.6712285280227661,1.7279539108276367,2.0616469383239746
1697307781.0336745,1.6713480949401855,1.7275924682617188,2.060995578765869
1697307781.1721144,1.6713616847991943,1.7278835773468018,2.0611274242401123
1697307781.3014922,1.6714493036270142,1.7282192707061768,2.0616321563720703
1697307781.433389,1.6713123321533203,1.7279181480407715,2.061305046081543
1697307781.5636613,1.6714764833450317,1.727895975112915,2.06087589263916
1697307781.6987293,1.671614646911621,1.728208065032959,2.062371253967285
1697307781.8292615,1.671466588973999,1.727937936782837,2.062178611755371
1697307781.9602137,1.6712629795074463,1.7281378507614136,2.061047315597534
1697307782.097786,1.6717121601104736,1.72828209400177,2.0616703033447266
1697307782.2272825,1.6714296340942383,1.72822904586792,2.0605156421661377
1697307782.3583918,1.6713851690292358,1.727888584136963,2.0616419315338135
1697307782.4882917,1.6716688871383667,1.7280391454696655,2.0611977577209473
1697307782.6253316,1.6718565225601196,1.7277824878692627,2.0619442462921143
1697307782.757176,1.6713579893112183,1.7274370193481445,2.0610904693603516
1697307782.888868,1.670527696609497,1.7276973724365234,2.0607857704162598
1697307783.0186253,1.6712532043457031,1.7280329465866089,2.0610077381134033
1697307783.1560771,1.671174168586731,1.7280304431915283,2.0614593029022217
1697307783.285194,1.6714160442352295,1.7282006740570068,2.0620899200439453
1697307783.4160705,1.6713653802871704,1.7278724908828735,2.060405731201172
1697307783.546532,1.6718342304229736,1.7282932996749878,2.060814142227173
1697307783.6812658,1.6713802814483643,1.7278627157211304,2.0610904693603516
1697307783.8114555,1.6716270446777344,1.728065013885498,2.0608744621276855
1697307783.9400563,1.6709928512573242,1.7280168533325195,2.0610644817352295
1697307784.0772502,1.6714887619018555,1.727681279182434,2.0618233680725098
1697307784.208957,1.6712099313735962,1.7281920909881592,2.0615851879119873
1697307784.3404002,1.671635627746582,1.728255033493042,2.061464309692383
1697307784.4692247,1.6711457967758179,1.7279280424118042,2.061049699783325
1697307784.6069076,1.6711359024047852,1.7274962663650513,2.0611226558685303
1697307784.7362704,1.670691728591919,1.7280329465866089,2.061708688735962
1697307784.8673515,1.671582579612732,1.7279280424118042,2.0610127449035645
1697307784.9986553,1.6716935634613037,1.7274616956710815,2.0612435340881348
1697307785.1348853,1.6711704730987549,1.727656602859497,2.0612545013427734
1697307785.265504,1.6709015369415283,1.7277886867523193,2.061840534210205
1697307785.394855,1.670883059501648,1.728283405303955,2.0604636669158936
1697307785.5331826,1.6713346242904663,1.728515386581421,2.061133623123169
1697307785.663163,1.6713826656341553,1.7278305292129517,2.061091661453247
1697307785.7945795,1.6715097427368164,1.727339506149292,2.0605735778808594
1697307785.9239216,1.6715627908706665,1.728015661239624,2.061505079269409
1697307786.0606565,1.6706312894821167,1.7277380228042603,2.062136650085449
1697307786.192729,1.6719255447387695,1.7279773950576782,2.0618479251861572
1697307786.325421,1.6713210344314575,1.7280502319335938,2.0614631175994873
1697307786.4552565,1.671080470085144,1.7276233434677124,2.0604255199432373
1697307786.5923083,1.6714998483657837,1.7279576063156128,2.061458110809326
1697307786.7238872,1.6710002422332764,1.7281452417373657,2.0626044273376465
1697307786.8553817,1.6713025569915771,1.7280797958374023,2.061387777328491
1697307786.9855556,1.6711186170578003,1.7275480031967163,2.061476707458496
1697307787.123327,1.6714061498641968,1.7281019687652588,2.0617666244506836
1697307787.254678,1.6713999509811401,1.7273259162902832,2.0611422061920166
1697307787.386314,1.67134690284729,1.7280625104904175,2.061513662338257
1697307787.5157173,1.6717405319213867,1.7281858921051025,2.0621676445007324
1697307787.6531916,1.6710779666900635,1.7278701066970825,2.062223196029663
1697307787.782883,1.6716861724853516,1.7273222208023071,2.062049150466919
1697307787.913963,1.6713099479675293,1.7272889614105225,2.0616049766540527
1697307788.0443816,1.6716787815093994,1.7279095649719238,2.0609214305877686
1697307788.1788568,1.67103111743927,1.7276023626327515,2.060711622238159
1697307788.3099806,1.6718589067459106,1.7276676893234253,2.061292886734009
1697307788.4391284,1.6715973615646362,1.7278244495391846,2.061741828918457
1697307788.5759335,1.6714838743209839,1.727599859237671,2.061697483062744
1697307788.7071848,1.6714012622833252,1.7281131744384766,2.062269926071167
1697307788.8388233,1.6713579893112183,1.7280687093734741,2.061338424682617
